char_count,word_count,unique_word_count,sentence_count,avg_word_length,std_word_length,avg_sentence_length,std_sentence_length,type_token_ratio,punctuation_ratio,comma_ratio,period_ratio,exclamation_ratio,question_ratio,semicolon_ratio,colon_ratio,repeated_punctuation_ratio,uppercase_ratio,digit_ratio,noun_ratio,verb_ratio,adjective_ratio,adverb_ratio,pronoun_ratio,conjunction_ratio,stopword_ratio,negation_ratio,intensifier_ratio,certainty_ratio,syllable_count,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,sentiment_polarity,sentiment_subjectivity,repeated_word_count,repeated_word_ratio
65,13,11,1,3.923076923076923,2.2000537917038603,13.0,0.0,0.8461538461538461,0.03076923076923077,0.03076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.0,0.0,0.07692307692307693,0.46153846153846156,0.0,0.0,0.23076923076923078,0.5384615384615384,0.0,0.07692307692307693,0.0,18,76.50153846153849,5.818461538461541,8.276923076923078,0.39444444444444443,0.7083333333333334,0,0.0
137,25,22,4,4.16,2.0333224043422136,6.25,2.48746859276655,0.88,0.029197080291970802,0.0,0.0,0.029197080291970802,0.0,0.0,0.0,0.0,0.029197080291970802,0.0,0.16,0.16,0.16,0.12,0.16,0.04,0.52,0.0,0.08,0.0,35,79.93666666666668,4.18,4.933333333333334,0.2734375,0.6354166666666666,0,0.0
207,38,31,4,4.2368421052631575,2.276125638544075,9.5,4.330127018922194,0.8157894736842105,0.033816425120772944,0.014492753623188406,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.00966183574879227,0.0,0.13157894736842105,0.21052631578947367,0.05263157894736842,0.07894736842105263,0.21052631578947367,0.05263157894736842,0.6842105263157895,0.05263157894736842,0.0,0.0,52,81.42407894736841,4.262368421052631,6.957894736842106,-0.5,1.0,0,0.0
130,25,24,2,4.12,2.320689552697646,12.5,6.5,0.96,0.03076923076923077,0.007692307692307693,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.0,0.16,0.12,0.12,0.16,0.16,0.04,0.6,0.0,0.04,0.0,32,81.85500000000002,4.823333333333334,9.8,0.21666666666666665,0.6166666666666667,0,0.0
22,4,4,1,4.75,1.0897247358851685,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,4,118.17500000000001,-2.2299999999999986,1.6,0.4,0.7,0,0.0
65,13,12,3,4.0,1.7097008285302207,4.333333333333333,2.8674417556808756,0.9230769230769231,0.03076923076923077,0.0,0.03076923076923077,0.0,0.0,0.0,0.0,0.0,0.046153846153846156,0.0,0.3076923076923077,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.46153846153846156,0.07692307692307693,0.07692307692307693,0.0,14,102.045,0.5166666666666693,2.4000000000000004,0.3,0.55,0,0.0
81,16,15,2,4.0,2.3717082451262845,8.0,2.0,0.9375,0.024691358024691357,0.0,0.024691358024691357,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0625,0.1875,0.125,0.125,0.25,0.0,0.6875,0.0,0.0,0.0,23,77.1025,4.492500000000003,5.7,0.03125,0.375,0,0.0
43,8,8,1,4.5,2.0615528128088303,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.25,0.25,0.0,0.125,0.0,0.0,0.5,0.0,0.0,0.0,11,82.39000000000001,3.7550000000000026,3.2,0.0,0.0,0,0.0
148,27,26,3,4.296296296296297,2.191140660407265,9.0,6.164414002968976,0.9629629629629629,0.033783783783783786,0.0,0.013513513513513514,0.006756756756756757,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.18518518518518517,0.1111111111111111,0.14814814814814814,0.1111111111111111,0.18518518518518517,0.037037037037037035,0.48148148148148145,0.0,0.07407407407407407,0.0,35,79.75538461538463,5.364615384615387,8.276923076923078,0.37777777777777777,0.48,0,0.0
100,22,20,2,3.3181818181818183,1.6620459362529292,11.0,1.0,0.9090909090909091,0.06,0.0,0.0,0.04,0.0,0.0,0.02,0.02,0.06,0.0,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.0,0.18181818181818182,0.09090909090909091,0.5909090909090909,0.0,0.0,0.0,27,91.84272727272729,3.1818181818181834,4.4,-0.45,0.675,0,0.0
228,45,37,3,3.911111111111111,1.9530286704639848,15.0,4.546060565661952,0.8222222222222222,0.03070175438596491,0.0043859649122807015,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.24444444444444444,0.13333333333333333,0.044444444444444446,0.044444444444444446,0.2,0.06666666666666667,0.5333333333333333,0.0,0.022222222222222223,0.0,62,72.73924242424245,6.757272727272728,9.503030303030304,-0.03500000000000001,0.51625,0,0.0
256,47,35,5,3.9148936170212765,2.1716724336085833,9.4,6.770524351924303,0.7446808510638298,0.1015625,0.015625,0.07421875,0.0078125,0.0,0.00390625,0.0,0.015625,0.02734375,0.0,0.23404255319148937,0.14893617021276595,0.14893617021276595,0.06382978723404255,0.0851063829787234,0.0425531914893617,0.425531914893617,0.0,0.0,0.0,59,92.6841666666667,2.2777659574468103,6.5375886524822695,0.3194444444444444,0.5666666666666668,0,0.0
